Recency,Frequency,Monetary,Segment_Label,R_Next_3Months,Churn
20,15,4747.966720806319,1,1,2
10,2,483.65746379962,3,1,2
13,11,2561.4536375685348,2,1,2
152,1,378.402877021522,0,0,3
63,6,1185.5029566304286,3,1,2
13,7,2225.4510637787153,3,1,2
33,5,1181.076862097932,3,1,2
2,14,4470.031060947666,2,1,2
30,10,1817.5303484618116,3,1,2
26,5,1177.6606386722988,3,1,2
21,13,3657.398883852057,2,1,2
23,7,1896.8512101419378,3,1,2
15,14,3091.2894769934705,2,1,2
13,5,1809.039361905988,3,1,2
13,12,3833.972771462788,2,1,2
25,6,1604.4471093067132,3,1,2
8,11,3419.962078315966,2,1,2
14,2,780.286698429194,3,1,2
0,10,3250.7607481883633,2,1,2
0,4,1120.5934739094246,3,1,2
43,6,1409.196989872174,3,1,2
46,9,2189.0808876454626,3,1,2
42,4,1167.2353414030858,3,0,0
7,15,4740.793910379097,1,1,2
21,9,2742.338534719691,2,1,2
28,13,2893.0638693593082,2,1,2
141,6,2068.990135411271,3,1,1
33,6,1514.614338137962,3,1,2
15,10,1739.506904785205,3,1,2
0,7,2043.120790194087,3,1,2
42,4,1154.981731556708,3,1,2
33,14,3693.688940063281,2,1,2
79,8,2284.32129382814,3,1,2
38,5,1746.317859202582,3,1,2
40,4,763.6693450796959,0,1,2
103,5,811.5743983453037,0,0,3
57,7,1836.0611409894072,3,1,2
31,10,2936.7890662222535,3,1,2
31,8,2136.1498719867523,3,1,2
27,16,4975.432425600091,4,1,2
7,10,2805.4393755851743,2,0,0
45,2,453.5608977491288,0,0,0
8,5,1231.720362075625,3,1,2
44,11,2255.7499628137807,3,1,2
26,13,2881.2999619990533,2,1,2
20,5,1372.8124245412375,3,0,0
11,13,3778.317108539149,2,1,2
5,17,4700.009313785269,4,1,2
3,12,3550.513848814721,2,1,2
3,13,3015.6477724260503,2,1,2
177,1,91.9854535796909,0,0,3
27,5,1313.178317471408,3,1,2
24,8,2235.8964749402317,3,1,2
35,4,1170.133659455719,3,1,2
19,11,3256.004546153037,2,1,2
42,7,1882.05159513115,3,1,2
8,14,4500.877530904075,1,1,2
15,15,4545.301723578656,1,0,0
13,8,2386.588760244793,3,1,2
35,6,1057.5419421860126,3,1,2
26,3,757.964462101905,3,1,2
16,5,1307.679814559799,3,1,2
45,13,3426.866248866494,2,1,2
35,14,4022.883514419212,2,1,2
111,1,226.630902464746,0,0,3
4,12,3641.1820390724797,2,1,2
4,4,1251.737506008508,3,1,2
49,5,1692.71310828458,3,1,2
61,5,1653.1182726334341,3,1,2
55,6,1775.1045644304982,3,1,2
101,3,899.52966359043,0,1,1
94,2,387.39110136123304,0,0,3
182,1,88.0412717304437,0,1,1
33,11,3127.857666447874,2,1,2
44,7,1853.4594468199812,3,1,2
29,15,4079.000801356517,2,1,2
14,2,611.314576214329,3,1,2
6,8,1781.8336216671014,3,1,2
9,16,4493.603709822938,1,1,2
9,14,3126.5354696686836,2,1,2
13,8,2655.7931998440013,2,1,2
64,15,3952.1354218170786,2,1,2
8,9,2801.382525261337,2,1,2
7,3,649.0535873859498,3,0,0
14,4,1154.3958570507966,3,1,2
3,6,1810.444450166603,3,1,2
60,2,602.3948538932759,0,1,2
51,8,1970.7625304048584,3,1,2
52,1,186.426896639109,0,0,0
5,8,2356.822293762982,3,1,2
61,1,68.8182945778609,0,0,0
3,5,976.7781023022483,3,1,2
116,2,585.850960588838,0,1,1
40,13,3984.6114509111985,2,1,2
22,14,4303.704409286328,2,1,2
4,6,2049.58756342863,3,1,2
41,4,1424.5967575019758,3,1,2
46,7,1377.6402040244918,3,1,2
105,5,1210.5139115494396,3,1,1
61,16,4733.149105651434,4,1,2
32,15,3915.4160104265766,2,1,2
49,12,2544.2866287802312,2,1,2
66,5,1149.5679739784566,3,0,0
38,12,3105.957629139996,2,1,2
78,9,1692.4009155318645,3,1,2
4,9,1925.143197431711,3,1,2
84,4,950.6672064053763,0,1,2
77,7,2016.7212918309988,3,1,2
3,1,344.130674727736,3,1,2
12,9,2212.9137441685316,3,1,2
16,15,4451.840947298791,2,1,2
7,2,485.557275060792,3,1,2
6,10,3894.1769458522995,2,1,2
86,3,907.1274652050706,0,1,2
59,8,2498.514333683565,3,1,2
105,10,3362.064352925497,3,1,1
1,2,469.6526221783297,3,1,2
113,3,940.595149435054,0,1,1
8,13,3808.3155867847568,2,1,2
20,13,4494.997873630095,2,1,2
158,5,1632.987977627886,0,1,1
52,9,3035.689829971493,3,1,2
83,4,607.3069732572535,0,1,2
15,10,2713.38705815353,2,1,2
1,8,2712.56285462111,2,1,2
9,11,3051.2877645310873,2,1,2
46,10,2120.816200774557,3,1,2
1,9,2613.311727167248,2,1,2
3,12,3280.6775005409736,2,1,2
9,11,3470.774100015929,2,1,2
53,11,3353.5144119840024,2,1,2
9,11,2709.94622946726,2,1,2
4,1,262.024796215791,3,0,0
4,6,1966.57926118649,3,1,2
84,4,1151.45325846729,3,1,2
14,9,2819.703205689088,2,1,2
12,16,4062.7637733611828,1,1,2
38,1,354.872268797467,0,1,2
18,2,428.514359673353,3,0,0
11,12,2078.5605412758696,3,1,2
78,11,3309.714446180252,2,1,2
50,7,1709.8147959448486,3,1,2
18,12,1793.223223669939,3,1,2
7,5,1506.4166129623059,3,1,2
3,8,2101.5953077015524,3,1,2
13,16,5092.735305840898,4,1,2
21,9,2829.5355664207686,2,1,2
44,14,3350.8046895956545,2,1,2
167,1,121.263048443193,0,0,3
3,8,1910.0794644902649,3,0,0
162,2,225.5388087485362,0,1,1
23,9,2994.4168338288882,2,1,2
23,7,1948.0152746579292,3,1,2
1,14,3865.3088655753577,2,1,2
33,4,1065.8341303944421,3,1,2
79,5,1280.6458816103825,3,1,2
0,8,1905.436110439281,3,1,2
69,1,337.964191818648,0,1,2
3,11,3919.969217024978,2,1,2
13,6,1893.5955311886792,3,1,2
115,1,360.064263290215,0,0,3
16,15,3664.974617668839,2,0,0
2,11,3495.7777188623572,2,1,2
1,10,2495.649911486501,3,1,2
26,10,3038.698499740868,2,1,2
7,7,2279.357771214766,3,1,2
13,7,2581.841478224519,2,1,2
178,1,164.52462168662,0,0,3
31,8,3103.303956927495,3,1,2
29,7,2037.0413983507297,3,1,2
9,6,1347.6139237481598,3,0,0
5,12,2980.345329907479,2,1,2
100,5,1601.792893923963,3,1,1
5,8,2550.0987012429346,2,1,2
